Description,Footprint,Part,Reference,Value,Quantity,Datasheet,Part Name,MPN,Sim.Device,Sim.Pins
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C315,100p,1,~,C_100.0pF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C1 C213 C214 C227 C228 C310,1n,6,~,C_1.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C5 C6 C18 C40 C41 C43 C48 C54 C405,10n,9,~,C_10.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C2,33n,1,~,C_33.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C4 C7 C21 C22 C23 C24 C25 C26 C36 C37 C38 C39 C201 C202 C203 C204 C205 C206 C207 C208 C215 C216 C217 C218 C219 C220 C221 C222 C301 C302 C303 C304 C305 C306 C307 C308 C309 C311 C312 C313 C314 C402 C404 C406 C407 C501 C502 C504 C505,100n,49,~,C_100.0nF_50V_0805_10%_X7R,,,
Unpolarized capacitor,C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,C,C3,100nF,1,~,C_100.0nF_15mm_THT_X2_10%,R46KI3100CKM1K,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C45,220n,1,~,C_220.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C401,680n,1,~,C_680nF_25V_X7R_10%_0805,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C10 C12 C19 C20 C29 C32 C42 C44 C47 C503,1u,10,~,C_1.0uF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C34 C35 C316,2u2,3,~,C_2.2uF_25V_X7R_10%_0805,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C27 C28 C49 C50 C52,10u,5,~,C_10.0uF_25V_X5R_10%_0805,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C11 C51 C53,22u,3,~,C_22u_16V_X5R_10%_0805,,,
"1500W unidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE",D_SMC,1.5KExxA,D203,1.5KE100A (smd),1,https://www.vishay.com/docs/88301/15ke.pdf,D_1.5KE100A_SMC,,,
"100V 0.15A standard switching diode, DO-35",D_MiniMELF,1N4148,D2 D3 D9 D10 D11 D12 D13 D14 D15 D301 D302,1N4148,11,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,D_1N4148_miniMELF,,D,1=K 2=A
