Description,Footprint,Part,Reference,Value,Quantity,Datasheet,Part Name,MPN,Sim.Device,Sim.Pins
"1A Low Dropout regulator, positive, adjustable output, SOT-223",SOT-223-3_TabPin2,AMS1117,U22,AMS1117,1,http://www.advanced-monolithic.com/pdf/ds1117.pdf,U_AZ1117CH-ADJTRG1,,,
16-bit quad-channel voltage output DAC with external reference,TSSOP-16_4.4x5mm_P0.65mm,DAC8555,U11 U12,DAC8555,2,https://www.ti.com/lit/ds/symlink/dac8555.pdf,U_DAC8555IPW,,,
"Operational Amplifier, TO-99-8",SOIC-8_3.9x4.9mm_P1.27mm,LM318H,U201 U202 U205 U206,LM318D,4,http://www.ti.com/lit/ds/symlink/lm318-n.pdf,U_LM318D,,,
"Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8",SOIC-8_3.9x4.9mm_P1.27mm,LM393,U306 U402,LM393,2,http://www.ti.com/lit/ds/symlink/lm393.pdf,U_LM393,,,
"Dual, 1 MHz, 85µA, Rail-to-Rail input and output SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,MCP6L02x-xSN_2,U301,LM833,1,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_LM833DR,,,
"Dual, 1 MHz, 85µA, Rail-to-Rail input and output SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,MCP6L02x-xSN_1,U302,LM833,1,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_LM833DR,,,
"MICROPOWER 200mA Low Noise LDO negative regulator, fixed output -5V, TSOT-23-5",TSOT-23-5,LT1964-5,U21,LT1964-5,1,https://www.analog.com/media/en/technical-documentation/data-sheets/1964fb.pdf,U_LT1964ES5,,,
"Single, 1 MHz, 85µA, Rail-to-Rail input and output, SOT-23-5",SOT-23-5,MCP6L01x-xOT,U18 U19,MCP6V51,2,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_MCP6V51T-E/OT,,,
"Low offset opamp, SOT-23-5",SOT-23-5,MCP6V51/LTC2050HV,U203 U204 U207 U208,MCP6V51/LTC2050HV,4,,U_LTC2050HVCS5,,,
"Low offset opamp, SOT-23-5",SOT-23-5,MCP6V51/LTC2050HV,U303 U304,OPA189/MCP6V51/LTC2050HV,2,,U_LTC2050HVCS5,,,
"2.5V 0.1% 10mA Low Noise Precision Voltage Reference, SO-8",SOIC-8_3.9x4.9mm_P1.27mm,REF5025AD,U4,REF5025AD,1,http://www.ti.com/lit/ds/symlink/ref5030.pdf,U_REF5025,,,
"Single SPDT Analog Switch, 5V/3.3V Single-Supply Operation, 12Ohm Ron, SOT-23-6",SOT-23-6,TS5A63157DBV,U1,SN74LVC1G3157DBV,1,https://www.ti.com/lit/ds/symlink/ts5a63157.pdf,U_SN74LVC1G3157DBVR,,,
"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,TL072,U10,TL072/OPA2376,1,http://www.ti.com/lit/ds/symlink/tl071.pdf,U_TL072CDT,,,
"800mA Low-Dropout Linear Regulator, 5.0V fixed output, TO-220/TO-252/TO-263/SOT-223",SOT-223-3_TabPin2,TLV1117-50,U23,TLV1117-50,1,http://www.ti.com/lit/ds/symlink/tlv1117.pdf,U_AZ1117CH-5.0TRG1,,,
"Ultra Low Noise, High PSRR LDO",SOT-23-5,TPS72325,U17,TPS72325,1,,U_TPS72325DB,,,
"Ultra Low Noise, High PSRR LDO",SOT-23-5,TPS7A2030,U15,TPS7A2030,1,,U_TPS7A2030PDBVR,,,
"Form A, Solid State Relay (Photo MOSFET) 60V, 0.2A, 10Ohm, SO-4",SO-4_4.4x4.3mm_P2.54mm,ASSR-1218,U8 U9,VO1400AEFTR,2,https://docs.broadcom.com/docs/AV02-0173EN,U_VO1400AEFTR,,,





Component Groups:,78
Component Count:,270
Fitted Components:,270
Number of PCBs:,1
Total components:,270
Schematic Version:,3
Schematic Date:,2024-02-06
PCB Variant:,default
BoM Date:,2024-02-06
Schematic Source:,EL-Load-Analog.kicad_sch
KiCad Version:,Eeschema 7.0.9
